title,alias,category_bucket
Vocational & Technical School,vocation,Education
Bikes,bikes,Shopping
Dive Shops,diveshops,Shopping
Golf Equipment,golfequipment,Shopping
Hockey Equipment,hockeyequipment,Shopping
Hunting & Fishing Supplies,huntingfishingsupplies,Shopping
Outdoor Gear,outdoorgear,Shopping
Skate Shops,skateshops,Shopping
Ski & Snowboard Shops,skishops,Shopping
Dance Wear,dancewear,Shopping
Spray Tanning,spraytanning,Professional Services
Tanning Beds,tanningbeds,Professional Services
Cheese Tasting Classes,cheesetastingclasses,Education
Wine Tasting Classes,winetasteclasses,Education
Tui Na,tuina,Wellness
Aerial Tours,aerialtours,Travel
Architectural Tours,architecturaltours,Travel
Art Tours,arttours,Travel
Beer Tours,beertours,Travel
Bike tours,biketours,Travel
Boat Tours,boattours,Travel
Bus Tours,bustours,Travel
Food Tours,foodtours,Travel
Historical Tours,historicaltours,Travel
Scooter Tours,scootertours,Travel
Walking Tours,walkingtours,Travel
Whale Watching Tours,whalewatchingtours,Travel
Wine Tours,winetours,Travel
Airlines,airlines,Travel
Airport Shuttles,airport_shuttles,Travel
Bike Sharing,bikesharing,Travel
Buses,buses,Travel
Bus Stations,busstations,Travel
Cable Cars,cablecars,Travel
Dolmus Station,dolmusstation,Travel
Ferries,ferries,Travel
Limos,limos,Travel
Metro Stations,metrostations,Travel
Pedicabs,pedicabs,Travel
Private Jet Charter,privatejetcharter,Travel
Public Transportation,publictransport,Travel
Shared Taxis,sharedtaxis,Travel
Taxis,taxis,Travel
Town Car Service,towncarservice,Travel
Trains,trains,Travel
Water Taxis,watertaxis,Travel
Luggage Storage,luggagestorage,Travel
Passport & Visa Services,passportvisaservices,Travel
Travel Agents,travelagents,Travel
Visitor Centers,visitorcenters,Travel
Chee Kufta,cheekufta,Food & Drink
Gozleme,gozleme,Food & Drink
Homemade Food,homemadefood,Food & Drink
Lahmacun,lahmacun,Food & Drink
Ottoman Cuisine,ottomancuisine,Food & Drink
Turkish Ravioli,turkishravioli,Food & Drink
Electricity Suppliers,electricitysuppliers,Professional Services
Natural Gas Suppliers,naturalgassuppliers,Professional Services
Water Suppliers,watersuppliers,Professional Services
Restaurant Supplies,suppliesrestaurant,Professional Services
Wine Tasting Room,winetastingroom,Alcohol
Petting Zoos,pettingzoos,Attraction
Active Life,active,Activity
Arts & Entertainment,arts,Activity
Automotive,auto,Auto
Beauty & Spas,beautysvc,Beauty
Bicycles,bicycles,Activity
Education,education,Education
Event Planning & Services,eventservices,Professional Services
Financial Services,financialservices,Professional Services
Food,food,Food & Drink
Health & Medical,health,Wellness
Home Services,homeservices,Home Services
Hotels & Travel,hotelstravel,Travel
Local Flavor,localflavor,Food & Drink
Local Services,localservices,Professional Services
Mass Media,massmedia,Media
Nightlife,nightlife,Nightlife
Pets,pets,Pets
Professional Services,professional,Professional Services
Public Services & Government,publicservicesgovt,Government
Religious Organizations,religiousorgs,Religious
Restaurants,restaurants,Food & Drink
Shopping,shopping,Shopping
